Отчет о продажах за период;;;;;;;
с 01.09.16 по 30.09.16;;;;;;;
По всем поставщикам, по фирме: Алекс. Суммы включают НДС.;;;;;;;
;;;;;;;
Код;Наименование;Цена;Кол-во;Сумма;Себестоимость;Эффективность;
;;;;;;Сумма;Процент
;ZОтчет 12/1523;800,00 руб.;1,00 шт.;800,00 руб.;339,15 руб.;460,85 руб.;135,88%
;ZОтчет 15/1528;800,00 руб.;1,00 шт.;800,00 руб.;469,46 руб.;330,54 руб.;70,41%
;ZОтчет 15/1529;800,00 руб.;1,00 шт.;800,00 руб.;496,13 руб.;303,87 руб.;61,25%
;ZОтчет 5/1531/15782;800,00 руб.;1,00 шт.;800,00 руб.;469,46 руб.;330,54 руб.;70,41%
19834;"Калькулятор""Citizen SDC-664S"" 16разр.";652,00 руб.;2,00 шт.;1 304,00 руб.;1 050,82 руб.;253,18 руб.;24,09%
;ZОтчет 51#00000000000003124;624,00 руб.;1,00 шт.;624,00 руб.;528,20 руб.;95,80 руб.;18,14%
;ZОтчет 16/1517;680,00 руб.;1,00 шт.;680,00 руб.;522,62 руб.;157,38 руб.;30,11%
84545;"Калькулятор""Citizen SDC-805BN"" 8разр.";384,00 руб.;13,00 шт.;4 992,00 руб.;2 677,55 руб.;2 314,45 руб.;86,44%
;ZОтчет 3/1469/14731;400,00 руб.;1,00 шт.;400,00 руб.;196,27 руб.;203,73 руб.;103,8%
;ZОтчет 16/1508;340,00 руб.;1,00 шт.;340,00 руб.;192,27 руб.;147,73 руб.;76,83%
;ZОтчет 15/1509;360,00 руб.;1,00 шт.;360,00 руб.;201,44 руб.;158,56 руб.;78,71%
;ZОтчет 13/1499;400,00 руб.;1,00 шт.;400,00 руб.;201,44 руб.;198,56 руб.;98,57%
;ZОтчет 9/2947;380,00 руб.;1,00 шт.;380,00 руб.;202,41 руб.;177,59 руб.;87,74%
;ZОтчет 15/1516;400,00 руб.;1,00 шт.;400,00 руб.;238,98 руб.;161,02 руб.;67,38%
;ZОтчет 19/882;400,00 руб.;1,00 шт.;400,00 руб.;185,72 руб.;214,28 руб.;115,38%
;ZОтчет 16/1520;400,00 руб.;1,00 шт.;400,00 руб.;192,27 руб.;207,73 руб.;108,04%
;ZОтчет 51#00000000000003137;312,00 руб.;1,00 шт.;312,00 руб.;196,27 руб.;115,73 руб.;58,96%
;ZОтчет 4/1537;400,00 руб.;1,00 шт.;400,00 руб.;196,27 руб.;203,73 руб.;103,8%
;ZОтчет 15/1526;400,00 руб.;1,00 шт.;400,00 руб.;238,97 руб.;161,03 руб.;67,39%
;ZОтчет 12/1527;400,00 руб.;1,00 шт.;400,00 руб.;196,27 руб.;203,73 руб.;103,8%
;ZОтчет 4/1541;400,00 руб.;1,00 шт.;400,00 руб.;238,97 руб.;161,03 руб.;67,39%
85059;"Калькулятор""Citizen SDC-810BN"" 10разр.";417,00 руб.;7,00 шт.;2 919,00 руб.;1 433,43 руб.;1 485,57 руб.;103,64%
;ZОтчет 16/1505;420,00 руб.;1,00 шт.;420,00 руб.;206,55 руб.;213,45 руб.;103,34%
;ZОтчет 15/1506;420,00 руб.;1,00 шт.;420,00 руб.;203,79 руб.;216,21 руб.;106,09%
;ZОтчет 4/1523/15400;420,00 руб.;1,00 шт.;420,00 руб.;209,24 руб.;210,76 руб.;100,73%
;ZОтчет 9/2955;420,00 руб.;1,00 шт.;420,00 руб.;209,24 руб.;210,76 руб.;100,73%
;ZОтчет 7/1531/10045;420,00 руб.;1,00 шт.;420,00 руб.;203,79 руб.;216,21 руб.;106,09%
;ZОтчет 19/889;399,00 руб.;1,00 шт.;399,00 руб.;197,03 руб.;201,97 руб.;102,51%
;ZОтчет 5/1527/15699;420,00 руб.;1,00 шт.;420,00 руб.;203,79 руб.;216,21 руб.;106,09%
