Отчет о продажах за период,,,,,,,
с 01.01.16 по 31.01.16,,,,,,,
"По всем поставщикам, по фирме: Алекс. Суммы включают НДС.",,,,,,,
,,,,,,,
Код,Наименование,Цена,Кол-во,Сумма,Себестоимость,Эффективность,
,,,,,,Сумма,Процент
85061,"Калькулятор""Citizen SDC-812BN"" 12разр.","310,33 руб.","5,00 шт.","1 551,65 руб.","1 176,30 руб.","375,35 руб.","31,91%"
,Расходная накладная РН09-00027 (11.01.16),"270,55 руб.","3,00 шт.","811,65 руб.","705,78 руб.","105,87 руб.",15%
,Расходная накладная РН16-00308 (27.01.16),"390,00 руб.","1,00 шт.","390,00 руб.","235,26 руб.","154,74 руб.","65,77%"
,Расходная накладная РН16-00341 (28.01.16),"350,00 руб.","1,00 шт.","350,00 руб.","235,26 руб.","114,74 руб.","48,77%"
85338,"Калькулятор""Citizen SDC-888XBK"" 12разр.бухгалтерский","738,43 руб.","5,00 шт.","3 692,16 руб.","2 543,90 руб.","1 148,26 руб.","45,14%"
,Расходная накладная РН09-28203 (11.01.16),"632,16 руб.","1,00 шт.","632,16 руб.","479,00 руб.","153,16 руб.","31,97%"
,Расходная накладная РН16-00061 (14.01.16),"850,00 руб.","1,00 шт.","850,00 руб.","526,80 руб.","323,20 руб.","61,35%"
,Расходная накладная РН16-00307 (26.01.16),"722,50 руб.","2,00 шт.","1 445,00 руб.","1 053,60 руб.","391,40 руб.","37,15%"
,Расходная накладная РН16-00530 (29.01.16),"765,00 руб.","1,00 шт.","765,00 руб.","484,50 руб.","280,50 руб.","57,89%"
186504,"Калькулятор""Citizen SDC-888XRD"" 12разр.бухгалтерский","850,00 руб.","2,00 шт.","1 700,00 руб.","1 219,50 руб.","480,50 руб.","39,4%"
,Расходная накладная РН16-00061 (14.01.16),"850,00 руб.","2,00 шт.","1 700,00 руб.","1 219,50 руб.","480,50 руб.","39,4%"
22417,"Калькулятор""Citizen SLD-100 N"" 8разр.","98,57 руб.","10,00 шт.","985,74 руб.","826,20 руб.","159,54 руб.","19,31%"
